begin_tm,end_tm,staff_num,duration,date
06:00,11:00,2.0,0 days 05:00:00,2022-11-20
10:30,15:30,2.0,0 days 05:00:00,2022-11-20
14:00,19:00,1.0,0 days 05:00:00,2022-11-20
15:00,19:00,2.0,0 days 04:00:00,2022-11-20
15:00,23:55,3.0,0 days 08:55:00,2022-11-20
06:00,11:00,2.0,0 days 05:00:00,2022-11-21
10:30,15:30,2.0,0 days 05:00:00,2022-11-21
14:00,19:00,0.0,0 days 05:00:00,2022-11-21
15:00,19:00,4.0,0 days 04:00:00,2022-11-21
15:00,23:55,2.0,0 days 08:55:00,2022-11-21
06:00,11:00,2.0,0 days 05:00:00,2022-11-22
10:30,15:30,2.0,0 days 05:00:00,2022-11-22
14:00,19:00,0.0,0 days 05:00:00,2022-11-22
15:00,19:00,3.0,0 days 04:00:00,2022-11-22
15:00,23:55,3.0,0 days 08:55:00,2022-11-22
06:00,11:00,2.0,0 days 05:00:00,2022-11-23
10:30,15:30,1.0,0 days 05:00:00,2022-11-23
14:00,19:00,1.0,0 days 05:00:00,2022-11-23
15:00,19:00,2.0,0 days 04:00:00,2022-11-23
15:00,23:55,3.0,0 days 08:55:00,2022-11-23
06:00,11:00,2.0,0 days 05:00:00,2022-11-24
10:30,15:30,2.0,0 days 05:00:00,2022-11-24
14:00,19:00,0.0,0 days 05:00:00,2022-11-24
15:00,19:00,1.0,0 days 04:00:00,2022-11-24
15:00,23:55,3.0,0 days 08:55:00,2022-11-24
06:00,11:00,2.0,0 days 05:00:00,2022-11-25
10:30,15:30,2.0,0 days 05:00:00,2022-11-25
14:00,19:00,0.0,0 days 05:00:00,2022-11-25
15:00,19:00,3.0,0 days 04:00:00,2022-11-25
15:00,23:55,3.0,0 days 08:55:00,2022-11-25
06:00,11:00,2.0,0 days 05:00:00,2022-11-26
10:30,15:30,1.0,0 days 05:00:00,2022-11-26
14:00,19:00,1.0,0 days 05:00:00,2022-11-26
15:00,19:00,0.0,0 days 04:00:00,2022-11-26
15:00,23:55,3.0,0 days 08:55:00,2022-11-26
06:00,11:00,2.0,0 days 05:00:00,2022-11-27
10:30,15:30,2.0,0 days 05:00:00,2022-11-27
14:00,19:00,0.0,0 days 05:00:00,2022-11-27
15:00,19:00,4.0,0 days 04:00:00,2022-11-27
15:00,23:55,2.0,0 days 08:55:00,2022-11-27
06:00,11:00,2.0,0 days 05:00:00,2022-11-28
10:30,15:30,2.0,0 days 05:00:00,2022-11-28
14:00,19:00,0.0,0 days 05:00:00,2022-11-28
15:00,19:00,4.0,0 days 04:00:00,2022-11-28
15:00,23:55,2.0,0 days 08:55:00,2022-11-28
06:00,11:00,2.0,0 days 05:00:00,2022-11-29
10:30,15:30,2.0,0 days 05:00:00,2022-11-29
14:00,19:00,0.0,0 days 05:00:00,2022-11-29
15:00,19:00,3.0,0 days 04:00:00,2022-11-29
15:00,23:55,3.0,0 days 08:55:00,2022-11-29
06:00,11:00,2.0,0 days 05:00:00,2022-11-30
10:30,15:30,2.0,0 days 05:00:00,2022-11-30
14:00,19:00,0.0,0 days 05:00:00,2022-11-30
15:00,19:00,1.0,0 days 04:00:00,2022-11-30
15:00,23:55,3.0,0 days 08:55:00,2022-11-30
